TAG	name	alias
LOC_EMD	유동	유동
LOC_EMD	율동	율동
LOC_EMD	이동	이동
LOC_EMD	인동	인동
LOC_EMD	일동	일동
LOC_EMD	임동	임동
LOC_EMD	작동	작동
LOC_EMD	장동	장동
LOC_EMD	재동	재동
LOC_EMD	저동	저동
LOC_EMD	전동	전동
LOC_EMD	정동	정동
LOC_EMD	좌동	좌동
LOC_EMD	죽동	죽동
LOC_EMD	중동	중동
LOC_EMD	지동	지동
LOC_EMD	직동	직동
LOC_EMD	창동	창동
LOC_EMD	천동	천동
LOC_EMD	청동	청동
LOC_EMD	초동	초동
LOC_EMD	추동	추동
LOC_EMD	탑동	탑동
LOC_EMD	통동	통동
LOC_EMD	파동	파동
LOC_EMD	평동	평동
LOC_EMD	포동	포동
LOC_EMD	풍동	풍동
LOC_EMD	하동	하동
LOC_EMD	학동	학동
LOC_EMD	합동	합동
LOC_EMD	항동	항동
LOC_EMD	행동	행동
LOC_EMD	현동	현동
LOC_EMD	혈동	혈동
LOC_EMD	호동	호동
LOC_EMD	화동	화동
LOC_EMD	효동	효동
LOC_EMD	흥동	흥동
LOC_EMD	남면 내리	남면 내리
LOC_EMD	남면 용리	남면 용리
LOC_EMD	남면 원리	남면 원리
LOC_EMD	남면 적리	남면 적리
LOC_EMD	남면 죽리	남면 죽리
LOC_EMD	남면 창리	남면 창리
LOC_EMD	남면 청리	남면 청리
LOC_EMD	북면 나리	북면 나리
LOC_EMD	북면 맹리	북면 맹리
LOC_EMD	북면 방리	북면 방리
LOC_EMD	북면 수리	북면 수리
LOC_EMD	북면 옥리	북면 옥리
LOC_EMD	북면 원리	북면 원리
LOC_EMD	서면 도리	서면 도리
LOC_EMD	서면 수리	서면 수리
LOC_EMD	서면 월리	서면 월리
LOC_EMD	겸면 가정리	겸면 가정리
LOC_EMD	겸면 괴정리	겸면 괴정리
LOC_EMD	겸면 남양리	겸면 남양리
LOC_EMD	겸면 대명리	겸면 대명리
LOC_EMD	겸면 마전리	겸면 마전리
LOC_EMD	겸면 산정리	겸면 산정리
LOC_EMD	겸면 상덕리	겸면 상덕리
LOC_EMD	겸면 송강리	겸면 송강리
LOC_EMD	겸면 운교리	겸면 운교리
LOC_EMD	겸면 칠봉리	겸면 칠봉리
LOC_EMD	겸면 평장리	겸면 평장리
LOC_EMD	겸면 현정리	겸면 현정리
LOC_EMD	남면 가암리	남면 가암리
LOC_EMD	남면 가정리	남면 가정리
LOC_EMD	남면 갑둔리	남면 갑둔리
LOC_EMD	남면 검산리	남면 검산리
LOC_EMD	남면 경상리	남면 경상리
LOC_EMD	남면 경신리	남면 경신리
LOC_EMD	남면 관대리	남면 관대리
LOC_EMD	남면 관천리	남면 관천리
LOC_EMD	남면 광덕리	남면 광덕리
LOC_EMD	남면 광천리	남면 광천리
LOC_EMD	남면 구산리	남면 구산리
LOC_EMD	남면 구암리	남면 구암리
LOC_EMD	남면 금천리	남면 금천리
LOC_EMD	남면 낙동리	남면 낙동리
LOC_EMD	남면 남계리	남면 남계리
LOC_EMD	남면 남전리	남면 남전리
LOC_EMD	남면 내곡리	남면 내곡리
LOC_EMD	남면 녹진리	남면 녹진리
LOC_EMD	남면 다산리	남면 다산리
LOC_EMD	남면 달산리	남면 달산리
LOC_EMD	남면 당암리	남면 당암리
LOC_EMD	남면 당항리	남면 당항리
LOC_EMD	남면 대곡리	남면 대곡리
LOC_EMD	남면 대선리	남면 대선리
LOC_EMD	남면 덕성리	남면 덕성리
LOC_EMD	남면 덕월리	남면 덕월리
LOC_EMD	남면 도촌리	남면 도촌리
LOC_EMD	남면 두곡리	남면 두곡리
LOC_EMD	남면 두라리	남면 두라리
LOC_EMD	남면 두모리	남면 두모리
LOC_EMD	남면 두무리	남면 두무리
LOC_EMD	남면 마령리	남면 마령리
LOC_EMD	남면 마정리	남면 마정리
LOC_EMD	남면 만월리	남면 만월리
LOC_EMD	남면 매곡리	남면 매곡리
LOC_EMD	남면 명곶리	남면 명곶리
LOC_EMD	남면 명동리	남면 명동리
LOC_EMD	남면 몽산리	남면 몽산리
LOC_EMD	남면 무동리	남면 무동리
LOC_EMD	남면 무릉리	남면 무릉리
LOC_EMD	남면 문곡리	남면 문곡리
LOC_EMD	남면 박암리	남면 박암리
LOC_EMD	남면 발산리	남면 발산리
LOC_EMD	남면 벽송리	남면 벽송리
LOC_EMD	남면 복교리	남면 복교리
LOC_EMD	남면 봉천리	남면 봉천리
LOC_EMD	남면 부상리	남면 부상리
LOC_EMD	남면 부평리	남면 부평리
LOC_EMD	남면 북쌍리	남면 북쌍리
LOC_EMD	남면 분향리	남면 분향리
LOC_EMD	남면 사수리	남면 사수리
LOC_EMD	남면 사평리	남면 사평리
LOC_EMD	남면 삼용리	남면 삼용리
LOC_EMD	남면 삼태리	남면 삼태리
LOC_EMD	남면 상가리	남면 상가리
LOC_EMD	남면 상수리	남면 상수리
LOC_EMD	남면 석교리	남면 석교리
LOC_EMD	남면 선구리	남면 선구리
LOC_EMD	남면 송곡리	남면 송곡리
LOC_EMD	남면 송암리	남면 송암리
LOC_EMD	남면 송우리	남면 송우리
LOC_EMD	남면 송학리	남면 송학리
LOC_EMD	남면 수산리	남면 수산리
LOC_EMD	남면 시동리	남면 시동리
LOC_EMD	남면 신남리	남면 신남리
LOC_EMD	남면 신대리	남면 신대리
LOC_EMD	남면 신산리	남면 신산리
LOC_EMD	남면 신암리	남면 신암리
LOC_EMD	남면 신온리	남면 신온리
LOC_EMD	남면 신월리	남면 신월리
LOC_EMD	남면 신장리	남면 신장리
LOC_EMD	남면 신풍리	남면 신풍리
LOC_EMD	남면 신홍리	남면 신홍리
LOC_EMD	남면 심장리	남면 심장리
LOC_EMD	남면 심포리	남면 심포리
LOC_EMD	남면 안도리	남면 안도리
LOC_EMD	남면 야촌리	남면 야촌리
LOC_EMD	남면 양잠리	남면 양잠리
LOC_EMD	남면 어론리	남면 어론리
LOC_EMD	남면 연당리	남면 연당리
LOC_EMD	남면 연도리	남면 연도리
LOC_EMD	남면 연천리	남면 연천리
LOC_EMD	남면 오봉리	남면 오봉리
LOC_EMD	남면 옥산리	남면 옥산리
LOC_EMD	남면 용수리	남면 용수리
LOC_EMD	남면 용하리	남면 용하리
LOC_EMD	남면 우학리	남면 우학리
LOC_EMD	남면 운곡리	남면 운곡리
LOC_EMD	남면 운남리	남면 운남리
LOC_EMD	남면 운산리	남면 운산리
LOC_EMD	남면 원청리	남면 원청리
LOC_EMD	남면 월곡리	남면 월곡리
LOC_EMD	남면 월명리	남면 월명리
LOC_EMD	남면 월정리	남면 월정리
LOC_EMD	남면 월천리	남면 월천리
LOC_EMD	남면 유마리	남면 유마리
LOC_EMD	남면 유송리	남면 유송리
LOC_EMD	남면 유치리	남면 유치리
LOC_EMD	남면 유평리	남면 유평리
LOC_EMD	남면 인암리	남면 인암리
LOC_EMD	남면 임포리	남면 임포리
LOC_EMD	남면 입암리	남면 입암리
LOC_EMD	남면 장전리	남면 장전리
LOC_EMD	남면 절산리	남면 절산리
LOC_EMD	남면 정곡리	남면 정곡리
LOC_EMD	남면 정자리	남면 정자리
LOC_EMD	남면 제곡리	남면 제곡리
LOC_EMD	남면 조전리	남면 조전리
LOC_EMD	남면 주산리	남면 주산리
LOC_EMD	남면 죽전리	남면 죽전리
LOC_EMD	남면 지곡리	남면 지곡리
LOC_EMD	남면 진산리	남면 진산리
LOC_EMD	남면 창원리	남면 창원리
LOC_EMD	남면 초곡리	남면 초곡리
LOC_EMD	남면 추곡리	남면 추곡리
LOC_EMD	남면 토교리	남면 토교리
LOC_EMD	남면 평산리	남면 평산리
LOC_EMD	남면 풍암리	남면 풍암리
LOC_EMD	남면 학선리	남면 학선리
LOC_EMD	남면 한덕리	남면 한덕리
LOC_EMD	남면 한산리	남면 한산리
LOC_EMD	남면 행정리	남면 행정리
LOC_EMD	남면 홍현리	남면 홍현리
LOC_EMD	남면 화전리	남면 화전리
LOC_EMD	남면 화태리	남면 화태리
LOC_EMD	남면 황강리	남면 황강리
LOC_EMD	남면 황방리	남면 황방리
LOC_EMD	남면 회동리	남면 회동리
LOC_EMD	남면 횡간리	남면 횡간리
LOC_EMD	남면 후동리	남면 후동리
LOC_EMD	내면 광원리	내면 광원리
LOC_EMD	내면 명개리	내면 명개리
LOC_EMD	내면 방내리	내면 방내리
LOC_EMD	내면 율전리	내면 율전리
LOC_EMD	내면 자운리	내면 자운리
LOC_EMD	내면 창촌리	내면 창촌리
LOC_EMD	동면 가산리	동면 가산리
LOC_EMD	동면 감정리	동면 감정리
LOC_EMD	동면 개곡리	동면 개곡리
LOC_EMD	동면 개운리	동면 개운리
LOC_EMD	동면 경치리	동면 경치리
LOC_EMD	동면 광덕리	동면 광덕리
LOC_EMD	동면 구도리	동면 구도리
LOC_EMD	동면 국동리	동면 국동리
LOC_EMD	동면 금산리	동면 금산리
LOC_EMD	동면 내송리	동면 내송리
LOC_EMD	동면 노천리	동면 노천리
LOC_EMD	동면 대포리	동면 대포리
LOC_EMD	동면 덕곡리	동면 덕곡리
LOC_EMD	동면 덕성리	동면 덕성리
LOC_EMD	동면 덕치리	동면 덕치리
LOC_EMD	동면 동산리	동면 동산리
LOC_EMD	동면 마산리	동면 마산리
LOC_EMD	동면 만천리	동면 만천리
LOC_EMD	동면 무포리	동면 무포리
LOC_EMD	동면 방량리	동면 방량리
LOC_EMD	동면 백용리	동면 백용리
LOC_EMD	동면 법기리	동면 법기리
LOC_EMD	동면 복암리	동면 복암리
LOC_EMD	동면 비아리	동면 비아리
LOC_EMD	동면 사송리	동면 사송리
LOC_EMD	동면 사태리	동면 사태리
LOC_EMD	동면 삼현리	동면 삼현리
LOC_EMD	동면 상걸리	동면 상걸리
LOC_EMD	동면 서성리	동면 서성리
LOC_EMD	동면 석산리	동면 석산리
LOC_EMD	동면 성수리	동면 성수리
LOC_EMD	동면 속초리	동면 속초리
LOC_EMD	동면 송연리	동면 송연리
LOC_EMD	동면 수남리	동면 수남리
LOC_EMD	동면 신봉리	동면 신봉리
LOC_EMD	동면 신이리	동면 신이리
LOC_EMD	동면 언도리	동면 언도리
LOC_EMD	동면 여락리	동면 여락리
LOC_EMD	동면 오동리	동면 오동리
LOC_EMD	동면 옥호리	동면 옥호리
LOC_EMD	동면 운농리	동면 운농리
LOC_EMD	동면 원당리	동면 원당리
LOC_EMD	동면 월곡리	동면 월곡리
LOC_EMD	동면 월운리	동면 월운리
LOC_EMD	동면 임당리	동면 임당리
LOC_EMD	동면 장동리	동면 장동리
LOC_EMD	동면 장송리	동면 장송리
LOC_EMD	동면 장학리	동면 장학리
LOC_EMD	동면 좌운리	동면 좌운리
LOC_EMD	동면 죽계리	동면 죽계리
LOC_EMD	동면 지내리	동면 지내리
LOC_EMD	동면 지석리	동면 지석리
LOC_EMD	동면 천덕리	동면 천덕리
LOC_EMD	동면 청궁리	동면 청궁리
LOC_EMD	동면 팔랑리	동면 팔랑리
LOC_EMD	동면 평촌리	동면 평촌리
LOC_EMD	동면 품걸리	동면 품걸리
LOC_EMD	동면 품안리	동면 품안리
LOC_EMD	동면 행암리	동면 행암리
LOC_EMD	동면 화계리	동면 화계리
LOC_EMD	동면 화덕리	동면 화덕리
LOC_EMD	동면 후곡리	동면 후곡리
LOC_EMD	동면 후동리	동면 후동리
LOC_EMD	동읍 금산리	동읍 금산리
LOC_EMD	동읍 남산리	동읍 남산리
LOC_EMD	동읍 노연리	동읍 노연리
LOC_EMD	동읍 다호리	동읍 다호리
LOC_EMD	동읍 단계리	동읍 단계리
LOC_EMD	동읍 덕산리	동읍 덕산리
LOC_EMD	동읍 덕천리	동읍 덕천리
LOC_EMD	동읍 무성리	동읍 무성리
LOC_EMD	동읍 무점리	동읍 무점리
LOC_EMD	동읍 본포리	동읍 본포리
LOC_EMD	동읍 봉강리	동읍 봉강리
LOC_EMD	동읍 봉곡리	동읍 봉곡리
LOC_EMD	동읍 봉산리	동읍 봉산리
LOC_EMD	동읍 산남리	동읍 산남리
LOC_EMD	동읍 석산리	동읍 석산리
LOC_EMD	동읍 송정리	동읍 송정리
LOC_EMD	동읍 신방리	동읍 신방리
LOC_EMD	동읍 용강리	동읍 용강리
LOC_EMD	동읍 용잠리	동읍 용잠리
LOC_EMD	동읍 용전리	동읍 용전리
LOC_EMD	동읍 용정리	동읍 용정리
LOC_EMD	동읍 월잠리	동읍 월잠리
LOC_EMD	동읍 죽동리	동읍 죽동리
LOC_EMD	동읍 화양리	동읍 화양리
LOC_EMD	목면 대평리	목면 대평리
LOC_EMD	목면 본의리	목면 본의리
LOC_EMD	목면 송암리	목면 송암리
LOC_EMD	목면 신흥리	목면 신흥리
LOC_EMD	목면 안심리	목면 안심리
LOC_EMD	목면 지곡리	목면 지곡리
LOC_EMD	목면 화양리	목면 화양리
LOC_EMD	북면 감계리	북면 감계리
LOC_EMD	북면 검성리	북면 검성리
LOC_EMD	북면 고목리	북면 고목리
LOC_EMD	북면 고암리	북면 고암리
LOC_EMD	북면 공기리	북면 공기리
LOC_EMD	북면 길성리	북면 길성리
LOC_EMD	북면 나곡리	북면 나곡리
LOC_EMD	북면 남산리	북면 남산리
LOC_EMD	북면 남치리	북면 남치리
LOC_EMD	북면 납안리	북면 납안리
LOC_EMD	북면 내곡리	북면 내곡리
LOC_EMD	북면 노기리	북면 노기리
LOC_EMD	북면 노치리	북면 노치리
LOC_EMD	북면 다곡리	북면 다곡리
LOC_EMD	북면 대산리	북면 대산리
LOC_EMD	북면 대평리	북면 대평리
LOC_EMD	북면 덕구리	북면 덕구리
LOC_EMD	북면 덕상리	북면 덕상리
LOC_EMD	북면 덕천리	북면 덕천리
LOC_EMD	북면 도대리	북면 도대리
LOC_EMD	북면 동전리	북면 동전리
LOC_EMD	북면 두천리	북면 두천리
LOC_EMD	북면 마산리	북면 마산리
LOC_EMD	북면 마정리	북면 마정리
LOC_EMD	북면 마차리	북면 마차리
LOC_EMD	북면 매송리	북면 매송리
LOC_EMD	북면 명덕리	북면 명덕리
LOC_EMD	북면 목동리	북면 목동리
LOC_EMD	북면 무곡리	북면 무곡리
LOC_EMD	북면 무동리	북면 무동리
LOC_EMD	북면 문곡리	북면 문곡리
LOC_EMD	북면 백둔리	북면 백둔리
LOC_EMD	북면 보림리	북면 보림리
LOC_EMD	북면 복흥리	북면 복흥리
LOC_EMD	북면 부구리	북면 부구리
LOC_EMD	북면 사계리	북면 사계리
LOC_EMD	북면 사담리	북면 사담리
LOC_EMD	북면 상당리	북면 상당리
LOC_EMD	북면 상동리	북면 상동리
LOC_EMD	북면 상천리	북면 상천리
LOC_EMD	북면 서유리	북면 서유리
LOC_EMD	북면 소곡리	북면 소곡리
LOC_EMD	북면 소법리	북면 소법리
LOC_EMD	북면 송단리	북면 송단리
LOC_EMD	북면 승부리	북면 승부리
LOC_EMD	북면 신촌리	북면 신촌리
LOC_EMD	북면 신평리	북면 신평리
LOC_EMD	북면 신화리	북면 신화리
LOC_EMD	북면 양곡리	북면 양곡리
LOC_EMD	북면 연덕리	북면 연덕리
LOC_EMD	북면 연춘리	북면 연춘리
LOC_EMD	북면 오곡리	북면 오곡리
LOC_EMD	북면 와천리	북면 와천리
LOC_EMD	북면 외감리	북면 외감리
LOC_EMD	북면 외산리	북면 외산리
LOC_EMD	북면 용곡리	북면 용곡리
LOC_EMD	북면 용대리	북면 용대리
LOC_EMD	북면 용암리	북면 용암리
LOC_EMD	북면 운용리	북면 운용리
LOC_EMD	북면 원통리	북면 원통리
LOC_EMD	북면 월계리	북면 월계리
LOC_EMD	북면 월백리	북면 월백리
LOC_EMD	북면 월촌리	북면 월촌리
LOC_EMD	북면 월학리	북면 월학리
LOC_EMD	북면 은지리	북면 은지리
LOC_EMD	북면 이곡리	북면 이곡리
LOC_EMD	북면 이천리	북면 이천리
LOC_EMD	북면 임곡리	북면 임곡리
LOC_EMD	북면 장학리	북면 장학리
