"고흥읍 옥하리","고흥읍 옥하리"
"고흥읍 행정리","고흥읍 행정리"
"고흥읍 호형리","고흥읍 호형리"
"곡반정동","곡반정동"
"곡성읍 읍내리","곡성읍 읍내리"
"곡성읍 학정리","곡성읍 학정리"
"곤양면 남문외리","곤양면 남문외리"
"곤양면 서정리","곤양면 서정리"
"곤양면 성내리","곤양면 성내리"
"곤양면 송전리","곤양면 송전리"
"곤지암읍 곤지암리","곤지암읍 곤지암리"
"곤지암읍 삼리","곤지암읍 삼리"
"공단동","공단동"
"공덕동","공덕동"
"공도읍 마정리","공도읍 마정리"
"공도읍 만정리","공도읍 만정리"
"공도읍 양기리","공도읍 양기리"
"공도읍 용두리","공도읍 용두리"
"공도읍 진사리","공도읍 진사리"
"공릉동","공릉동"
"공세동","공세동"
"공촌동","공촌동"
"공평동","공평동"
"공항동","공항동"
"공화동","공화동"
"관고동","관고동"
"관교동","관교동"
"관동3가","관동3가"
"관동동","관동동"
"관산동","관산동"
"관산읍 남송리","관산읍 남송리"
"관설동","관설동"
"관양동","관양동"
"관음동","관음동"
"관저동","관저동"
"관촌면 관촌리","관촌면 관촌리"
"관평동","관평동"
"광도면 안정리","광도면 안정리"
"광도면 죽림리","광도면 죽림리"
"광도면 황리","광도면 황리"
"광동2가","광동2가"
"광명동","광명동"
"광무동","광무동"
"광사동","광사동"
"광안동","광안동"
"광암동","광암동"
"광양읍 구산리","광양읍 구산리"
"광양읍 덕례리","광양읍 덕례리"
"광양읍 목성리","광양읍 목성리"
"광양읍 용강리","광양읍 용강리"
"광양읍 우산리","광양읍 우산리"
"광양읍 인서리","광양읍 인서리"
"광양읍 칠성리","광양읍 칠성리"
"광영동","광영동"
"광장동","광장동"
"광적면 가납리","광적면 가납리"
"광적면 광석리","광적면 광석리"
"광천동","광천동"
"광천읍 광천리","광천읍 광천리"
"광천읍 신진리","광천읍 신진리"
"광탄면 신산리","광탄면 신산리"
"광평동","광평동"
"광혜원면 광혜원리","광혜원면 광혜원리"
"광혜원면 죽현리","광혜원면 죽현리"
"광화동","광화동"
"괘법동","괘법동"
"괴산읍 대사리","괴산읍 대사리"
"괴산읍 동부리","괴산읍 동부리"
"괴산읍 서부리","괴산읍 서부리"
"괴안동","괴안동"
"괴전동","괴전동"
"괴정동","괴정동"
"교남동","교남동"
"교동","교동"
"교문동","교문동"
"교방동","교방동"
"교북동","교북동"
"교원동","교원동"
"교촌동","교촌동"
"교현동","교현동"
"구갈동","구갈동"
"구기동","구기동"
"구래동","구래동"
"구례읍 백련리","구례읍 백련리"
"구례읍 봉동리","구례읍 봉동리"
"구례읍 봉북리","구례읍 봉북리"
"구례읍 봉서리","구례읍 봉서리"
"구로동","구로동"
"구룡동","구룡동"
"구룡포읍 구룡포리","구룡포읍 구룡포리"
"구룡포읍 눌태리","구룡포읍 눌태리"
"구룡포읍 병포리","구룡포읍 병포리"
"구미동","구미동"
"구산동","구산동"
"구산면 수정리","구산면 수정리"
"구서동","구서동"
"구성동","구성동"
"구수동","구수동"
"구암동","구암동"
"구운동","구운동"
"구월동","구월동"
"구의동","구의동"
"구정동","구정동"
"구좌읍 세화리","구좌읍 세화리"
"구지면 응암리","구지면 응암리"
"구평동","구평동"
"구포동","구포동"
"구항면 마온리","구항면 마온리"
"구항면 오봉리","구항면 오봉리"
"국동","국동"
"국우동","국우동"
"군동면 호계리","군동면 호계리"
"군문동","군문동"
"군북면 중암리","군북면 중암리"
"군서면 도갑리","군서면 도갑리"
"군서면 동구림리","군서면 동구림리"
"군위읍 동부리","군위읍 동부리"
"군위읍 서부리","군위읍 서부리"
"군자동","군자동"
"궁동","궁동"
"궁촌동","궁촌동"
"권곡동","권곡동"
"권선동","권선동"
"궐동","궐동"
"규암면 규암리","규암면 규암리"
"규암면 반산리","규암면 반산리"
"규암면 석우리","규암면 석우리"
"규암면 외리","규암면 외리"
"규암면 합송리","규암면 합송리"
"귤현동","귤현동"
"근남면 노음리","근남면 노음리"
"근덕면 교가리","근덕면 교가리"
"근화동","근화동"
"근흥면 정죽리","근흥면 정죽리"
"금가면 도촌리","금가면 도촌리"
"금강동","금강동"
"금계동","금계동"
"금곡동","금곡동"
"금광동","금광동"
"금광면 신양복리","금광면 신양복리"
"금구면 금구리","금구면 금구리"
"금남로2가","금남로2가"
"금남로3가","금남로3가"
"금남로5가","금남로5가"
"금남면 계천리","금남면 계천리"
"금남면 용포리","금남면 용포리"
"금동","금동"
"금릉동","금릉동"
"금마면 동고도리","금마면 동고도리"
"금마면 서고도리","금마면 서고도리"
"금마면 죽림리","금마면 죽림리"
"금붕동","금붕동"
"금사동","금사동"
"금산동","금산동"
"금산면 성계리","금산면 성계리"
"금산면 장사리","금산면 장사리"
"금산면 중천리","금산면 중천리"
"금산읍 상리","금산읍 상리"
"금산읍 상옥리","금산읍 상옥리"
"금산읍 아인리","금산읍 아인리"
"금산읍 중도리","금산읍 중도리"
"금산읍 하옥리","금산읍 하옥리"
"금서면 매촌리","금서면 매촌리"
"금석동","금석동"
"금성동","금성동"
"금성면 갈사리","금성면 갈사리"
"금암동","금암동"
"금오동","금오동"
"금왕읍 금석리","금왕읍 금석리"
"금왕읍 내송리","금왕읍 내송리"
"금왕읍 무극리","금왕읍 무극리"
"금왕읍 본대리","금왕읍 본대리"
"금왕읍 오선리","금왕읍 오선리"
"금정동","금정동"
"금천동","금천동"
"금천면 오강리","금천면 오강리"
"금천면 원곡리","금천면 원곡리"
"금촌동","금촌동"
"금학동","금학동"
"금호동","금호동"
"금호동1가","금호동1가"
"금호동2가","금호동2가"
"금호동3가","금호동3가"
"금호동4가","금호동4가"
"금호읍 교대리","금호읍 교대리"
"금호읍 냉천리","금호읍 냉천리"
"금호읍 덕성리","금호읍 덕성리"
"금호읍 원제리","금호읍 원제리"
"금화동","금화동"
"금흥동","금흥동"
"기린면 현리","기린면 현리"
"기산동","기산동"
"기산면 죽전리","기산면 죽전리"
"기성면 구산리","기성면 구산리"
"기안동","기안동"
"기장읍 교리","기장읍 교리"
"기장읍 내리","기장읍 내리"
"기장읍 대라리","기장읍 대라리"
"기장읍 대변리","기장읍 대변리"
"기장읍 동부리","기장읍 동부리"
"기장읍 서부리","기장읍 서부리"
"기장읍 청강리","기장읍 청강리"
"길동","길동"
"길상면 온수리","길상면 온수리"
"길음동","길음동"
"김량장동","김량장동"
"나성동","나성동"
"나운동","나운동"
"낙민동","낙민동"
"낙양동","낙양동"
"낙원동","낙원동"
"남가좌동","남가좌동"
"남교동","남교동"
"남내동","남내동"
"남노송동","남노송동"
"남대문로5가","남대문로5가"
"남동","남동"
"남면 무릉리","남면 무릉리"
"남면 문곡리","남면 문곡리"
"남면 신남리","남면 신남리"
"남면 신산리","남면 신산리"
"남면 양덕원리","남면 양덕원리"
"남문동","남문동"
"남문로1가","남문로1가"
"남문로1가동","남문로1가동"
"남부동","남부동"
"남부민동","남부민동"
"남산동","남산동"
"남산동2가","남산동2가"
"남산면 창촌리","남산면 창촌리"
"남선면 이천리","남선면 이천리"
"남성동","남성동"
"남양동","남양동"
"남양읍 남양리","남양읍 남양리"
"남양읍 무송리","남양읍 무송리"
"남양읍 신남리","남양읍 신남리"
"남외동","남외동"
"남원읍 남원리","남원읍 남원리"
"남원읍 위미리","남원읍 위미리"
"남이면 가마리","남이면 가마리"
"남이면 척북리","남이면 척북리"
"남일면 효촌리","남일면 효촌리"
"남정동","남정동"
"남주동","남주동"
"남중동","남중동"
"남지읍 남지리","남지읍 남지리"
"남지읍 마산리","남지읍 마산리"
"남창동","남창동"
"남천동","남천동"
"남촌동","남촌동"
"남통동","남통동"
"남평읍 교원리","남평읍 교원리"
"남평읍 남평리","남평읍 남평리"
"남평읍 대교리","남평읍 대교리"
"남평읍 동사리","남평읍 동사리"
"남평읍 서산리","남평읍 서산리"
"남항동1가","남항동1가"
"남항동2가","남항동2가"
"남항동3가","남항동3가"
"남해읍 남변리","남해읍 남변리"
"남해읍 북변리","남해읍 북변리"
"남해읍 서변리","남해읍 서변리"
"남해읍 아산리","남해읍 아산리"
"남해읍 차산리","남해읍 차산리"
"남현동","남현동"
"낭산면 용기리","낭산면 용기리"
"낭월동","낭월동"
"내곡동","내곡동"
"내당동","내당동"
"내덕동","내덕동"
"내동","내동"
"내동면 독산리","내동면 독산리"
"내발산동","내발산동"
"내방동","내방동"
"내삼미동","내삼미동"
"내서읍 삼계리","내서읍 삼계리"
"내서읍 상곡리","내서읍 상곡리"
"내서읍 원계리","내서읍 원계리"
"내서읍 중리","내서읍 중리"
"내서읍 호계리","내서읍 호계리"
"내손동","내손동"
"내수동","내수동"
"내수읍 내수리","내수읍 내수리"
"내수읍 도원리","내수읍 도원리"
"내수읍 마산리","내수읍 마산리"
"내수읍 우산리","내수읍 우산리"
"내수읍 은곡리","내수읍 은곡리"
"내이동","내이동"
"내일동","내일동"
"내척동","내척동"
"냉림동","냉림동"
"냉천동","냉천동"
"노고산동","노고산동"
"노대동","노대동"
"노량진동","노량진동"
"노변동","노변동"
"노서동","노서동"
"노암동","노암동"
"노원동1가","노원동1가"
"노원동2가","노원동2가"
"노원동3가","노원동3가"
"노은동","노은동"
"노하동","노하동"
"노형동","노형동"
"녹번동","녹번동"
"녹산동","녹산동"
"녹양동","녹양동"
"논곡동","논곡동"
"논공읍 남리","논공읍 남리"
"논공읍 북리","논공읍 북리"
"논현동","논현동"
"농성동","농성동"
"농소동","농소동"
"누상동","누상동"
"누읍동","누읍동"
"능곡동","능곡동"
"능동","능동"
"능서면 신지리","능서면 신지리"
"능주면 잠정리","능주면 잠정리"
"능포동","능포동"
"다가동","다가동"
"다가동1가","다가동1가"
"다가동2가","다가동2가"
"다대동","다대동"
"다방동","다방동"
"다사읍 매곡리","다사읍 매곡리"
"다사읍 서재리","다사읍 서재리"
"다사읍 세천리","다사읍 세천리"
"다사읍 죽곡리","다사읍 죽곡리"
"다산면 상곡리","다산면 상곡리"
"다산면 평리리","다산면 평리리"
"다수동","다수동"
"다시면 영동리","다시면 영동리"
"다시면 월태리","다시면 월태리"
"다운동","다운동"
"다율동","다율동"
"단계동","단계동"
"단구동","단구동"
"단대동","단대동"
"단봉동","단봉동"
"단성면 성내리","단성면 성내리"
